Item,Quantity Needed,Quantity of listing needed,Unit cost,Total Cost,Link,Notes
Petg CF 1 kg 15% CF Content,10,1,$128.33,$128.33,https://www.aliexpress.us/item/3256812165248446.html?spm=a2g0o.productlist.main.24.40cf4ec85p2dmK&aem_p4p_detail=202606160131103839568896828360000035613&algo_pvid=f87f6db6-5bf6-42ca-af3e-23ceea22088f&algo_exp_id=f87f6db6-5bf6-42ca-af3e-23ceea22088f-23&pdp_ext_f=%7B%22order%22%3A%22-1%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%21229.15%21128.33%21%21%211541.00%21862.96%21%40210319b017815986708723910e33a0%2112000058146831451%21sea%21US%214342193870%21X%211%210%21n_tag%3A-29919%3Bd%3Aebd7ba89%3Bm03_new_user%3A-29895&curPageLogUid=LABf49kRRBiK&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005012351563198%7C_p_origin_prod%3A&search_p4p_id=202606160131103839568896828360000035613_7,Pretty much every 3d printed part. I calculated that for everything combined i'll need 10.1 kg of filament
PA6-CF,1,1,$27.93,$27.93,https://www.aliexpress.us/item/3256803381845777.html?spm=a2g0o.productlist.main.8.12843ed14dyeGx&aem_p4p_detail=2026061601420711757232861408920000038420&algo_pvid=002c6e0f-3258-40c1-81aa-c16d96aeff67&algo_exp_id=002c6e0f-3258-40c1-81aa-c16d96aeff67-7&pdp_ext_f=%7B%22order%22%3A%22511%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2149.00%2127.93%21%21%2149.00%2127.93%21%402101c44517815993275867165ea272%2112000026358489902%21sea%21US%214342193870%21X%211%210%21n_tag%3A-29919%3Bd%3Aebd7ba89%3Bm03_new_user%3A-29895&curPageLogUid=tWWmx2CjotTg&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005003568160529%7C_p_origin_prod%3A&search_p4p_id=2026061601420711757232861408920000038420_4,Just for the pulleys under the greatest force
,,,,,,
m4 heat press inserts,100,1,$6.99,$6.99,https://www.walmart.com/ip/100-Packs-M4-Threaded-Inserts-Brass-Heat-Set-Insert-M4x4mm-OD-6mm-Knurled-Insert-Nuts/8285817686?wmlspartner=wlpa&selectedSellerId=571,
m3 heat press inserts+solder tips,34,1,$7.99,$7.99,https://www.amazon.com/FFVRVSS-M2-M2-5-Threaded-Inserts/dp/B0FWCG2K1F/ref=sr_1_3?crid=EU13BJRQ4FRJ&dib=eyJ2IjoiMSJ9.mkJlYb7m0zgH2wKxj7lwCpMoj-1UDDfcAbhWffwSiZAmPuW9IZbDar8hpeXdoBQRE06w8ESgn9-D_CR4Lra2CBGd7CIKnvf_X4d_Q0tVA9Dt-M_ASh4QfeTFAViA2aRa23QpU_-O7v5l6XlmjDWYDpLAW9c0eV7XrALyu2yht18X8ZdG-VyvChGUiP1cvFrQWYArG5for7L57h_F5fAd68kiOWxFKwicI-dt7KiAg3I.SD0SCCPZP1Z60o8lViMsyEu-9UIe1bD280QeFuRueDE&dib_tag=se&keywords=m3%2Bheat%2Bpress%2Binserts&qid=1781587763&sprefix=m3%2Bheat%2Bpress%2Binser%2Caps%2C310&sr=8-3&th=1,
,,,,,,
m2 screw button head,20,1,$5.98,$5.98,amazon.com/995PCS-Screws-Assortment-Metric-Socket/dp/B0FQ2PX5ZT/ref=sr_1_19?crid=177IQILIKQLCE&dib=eyJ2IjoiMSJ9.0r7JQ8YAeM3_9R_CcRJIMvDObsiNjgicvcAMZipu8-1jquaB4aED-nrXFRJtTkNIl9adNJHzNNRD877i2KwbaIZS0Qct2VhmGA4r-7FS6amZObM-du4IXQ9tsk0Mb0y7mztA_RXDokxNWZJ9TdFIF39qZYA19M6zqJjpBZcx_GFuSGje9z4W3QWKqAQLcObbX-zsOZNr6t5v1lzSj_4PjndUjH5rc62JGCjHmzWSiWce_ag9J818g6U7pEVzrzt9jpSWaJ5qDV3XMHEFcIVa87eIc9l5Yg3zZBnMi2IDJkU.tNe_dLnl-jvqVf1CojX5rNv2Jgm79a_GYq02b-nsr_4&dib_tag=se&keywords=m2%2Bscrew%2Bbutton%2Bhead&qid=1781658616&s=industrial&sprefix=m2%2Bscrew%2Bbutton%2Bhea%2Cindustrial%2C187&sr=1-19&th=1,
m3 screw,42,1,$5.99,$5.99,https://www.amazon.com/Screws-Assortment-Black-Alloy-Washers/dp/B0FJDY5PFN/ref=sr_1_8?crid=3G7E3X4BDG141&dib=eyJ2IjoiMSJ9.cuBJ5G2d98fh1Tef_3PCuB7p-kvj_i031BGGcBT1z3QmSZh_NwbA7o8LN97msCpbpcy2oebK4hZlegYimCyJxc7IiZtBwJmCn-bKf6h9WiiXYxJcbamEDqjoBKVxzuRmWc4Ct1HzQW8D4taKB6yaJHO2j36XhBabkavmh92X2PnePYrNzm7p_RvPBpy-RG6mfeMrEDZMK-nPlC9j1pbYA2Hrsua5CUSvQ950BmHB2yVSSHyaeO2LoatIHOOvAL3Iok-gBYebSxtnfJPA-jssU2T3Cd94QY4b7TsT1TAQlOY.0xwpnQQEmm8IVqb3csKqUrasF-biMJJZmhZDBruiU4c&dib_tag=se&keywords=m3+screw+set&qid=1781657675&s=industrial&sprefix=m3+screw+se%2Cindustrial%2C186&sr=1-9,
m4 screw,98,1,$8.49,$8.49,https://www.amazon.com/VGBUY-500Pcs-Screws-Assorted-Assortment/dp/B0DD79T1CW/ref=sr_1_10?crid=39JZQ4RLDQ9JS&dib=eyJ2IjoiMSJ9.z1yYlmxe1m_ElnPBGdCCd15r1nTkgoAsBezP1GuzgnVVftvdX2De20v4FE3Ft4SeEsIH_Ldhi9vfHMJRM74xS2JPpyTigGf7ymyvORLpBihRg2kLDr2iWV2FhI7j2NSFabjr9SC5KHQuFftO2ggzzzXrcJ0u8mphzzbbc1c26MjRmExvCJCkRxxzP33rwvwBHJUbuNk1el7yPGS2OMq-9tq4jC_hrfDyZ7sF_0U44RwEXnzxWiRL6i5zFYTfqBwLa82GoDs6gP0crLlPHqrLpzP4ApQEWxfpfS3nCZmijcE.DVcNgb8-pnIXK0lFnlW9sELYeU01ItukZ5287GL6PfQ&dib_tag=se&keywords=m4+screw+set&qid=1781657879&s=industrial&sprefix=m4+screw+se%2Cindustrial%2C211&sr=1-10,
m8 screw button head,28,1,$10.99,$10.99,https://www.walmart.com/ip/Unique-Bargains-30-Pcs-M8-x-10mm-Full-Thread-Stainless-Steel-Button-Head-Socket-Cap-Screw/50255670?wmlspartner=wlpa&selectedSellerId=571,
